date_key,date,day,month,month_name,quarter,year,weekday,week_start,is_weekend
20240101,2024-01-01,1,1,Jan,1,2024,0,2024-01-01,0
20240102,2024-01-02,2,1,Jan,1,2024,1,2024-01-01,0
20240103,2024-01-03,3,1,Jan,1,2024,2,2024-01-01,0
20240104,2024-01-04,4,1,Jan,1,2024,3,2024-01-01,0
20240105,2024-01-05,5,1,Jan,1,2024,4,2024-01-01,0
20240106,2024-01-06,6,1,Jan,1,2024,5,2024-01-01,1
20240107,2024-01-07,7,1,Jan,1,2024,6,2024-01-01,1
20240108,2024-01-08,8,1,Jan,1,2024,0,2024-01-08,0
20240109,2024-01-09,9,1,Jan,1,2024,1,2024-01-08,0
20240110,2024-01-10,10,1,Jan,1,2024,2,2024-01-08,0
20240111,2024-01-11,11,1,Jan,1,2024,3,2024-01-08,0
20240112,2024-01-12,12,1,Jan,1,2024,4,2024-01-08,0
20240113,2024-01-13,13,1,Jan,1,2024,5,2024-01-08,1
20240114,2024-01-14,14,1,Jan,1,2024,6,2024-01-08,1
20240115,2024-01-15,15,1,Jan,1,2024,0,2024-01-15,0
20240116,2024-01-16,16,1,Jan,1,2024,1,2024-01-15,0
20240117,2024-01-17,17,1,Jan,1,2024,2,2024-01-15,0
20240118,2024-01-18,18,1,Jan,1,2024,3,2024-01-15,0
20240119,2024-01-19,19,1,Jan,1,2024,4,2024-01-15,0
20240120,2024-01-20,20,1,Jan,1,2024,5,2024-01-15,1
20240121,2024-01-21,21,1,Jan,1,2024,6,2024-01-15,1
20240122,2024-01-22,22,1,Jan,1,2024,0,2024-01-22,0
20240123,2024-01-23,23,1,Jan,1,2024,1,2024-01-22,0
20240124,2024-01-24,24,1,Jan,1,2024,2,2024-01-22,0
20240125,2024-01-25,25,1,Jan,1,2024,3,2024-01-22,0
20240126,2024-01-26,26,1,Jan,1,2024,4,2024-01-22,0
20240127,2024-01-27,27,1,Jan,1,2024,5,2024-01-22,1
20240128,2024-01-28,28,1,Jan,1,2024,6,2024-01-22,1
20240129,2024-01-29,29,1,Jan,1,2024,0,2024-01-29,0
20240130,2024-01-30,30,1,Jan,1,2024,1,2024-01-29,0
20240131,2024-01-31,31,1,Jan,1,2024,2,2024-01-29,0
20240201,2024-02-01,1,2,Feb,1,2024,3,2024-01-29,0
20240202,2024-02-02,2,2,Feb,1,2024,4,2024-01-29,0
20240203,2024-02-03,3,2,Feb,1,2024,5,2024-01-29,1
20240204,2024-02-04,4,2,Feb,1,2024,6,2024-01-29,1
20240205,2024-02-05,5,2,Feb,1,2024,0,2024-02-05,0
20240206,2024-02-06,6,2,Feb,1,2024,1,2024-02-05,0
20240207,2024-02-07,7,2,Feb,1,2024,2,2024-02-05,0
20240208,2024-02-08,8,2,Feb,1,2024,3,2024-02-05,0
20240209,2024-02-09,9,2,Feb,1,2024,4,2024-02-05,0
20240210,2024-02-10,10,2,Feb,1,2024,5,2024-02-05,1
20240211,2024-02-11,11,2,Feb,1,2024,6,2024-02-05,1
20240212,2024-02-12,12,2,Feb,1,2024,0,2024-02-12,0
20240213,2024-02-13,13,2,Feb,1,2024,1,2024-02-12,0
20240214,2024-02-14,14,2,Feb,1,2024,2,2024-02-12,0
20240215,2024-02-15,15,2,Feb,1,2024,3,2024-02-12,0
20240216,2024-02-16,16,2,Feb,1,2024,4,2024-02-12,0
20240217,2024-02-17,17,2,Feb,1,2024,5,2024-02-12,1
20240218,2024-02-18,18,2,Feb,1,2024,6,2024-02-12,1
20240219,2024-02-19,19,2,Feb,1,2024,0,2024-02-19,0
20240220,2024-02-20,20,2,Feb,1,2024,1,2024-02-19,0
20240221,2024-02-21,21,2,Feb,1,2024,2,2024-02-19,0
20240222,2024-02-22,22,2,Feb,1,2024,3,2024-02-19,0
20240223,2024-02-23,23,2,Feb,1,2024,4,2024-02-19,0
20240224,2024-02-24,24,2,Feb,1,2024,5,2024-02-19,1
20240225,2024-02-25,25,2,Feb,1,2024,6,2024-02-19,1
20240226,2024-02-26,26,2,Feb,1,2024,0,2024-02-26,0
20240227,2024-02-27,27,2,Feb,1,2024,1,2024-02-26,0
20240228,2024-02-28,28,2,Feb,1,2024,2,2024-02-26,0
20240229,2024-02-29,29,2,Feb,1,2024,3,2024-02-26,0
20240301,2024-03-01,1,3,Mar,1,2024,4,2024-02-26,0
20240302,2024-03-02,2,3,Mar,1,2024,5,2024-02-26,1
20240303,2024-03-03,3,3,Mar,1,2024,6,2024-02-26,1
20240304,2024-03-04,4,3,Mar,1,2024,0,2024-03-04,0
20240305,2024-03-05,5,3,Mar,1,2024,1,2024-03-04,0
20240306,2024-03-06,6,3,Mar,1,2024,2,2024-03-04,0
20240307,2024-03-07,7,3,Mar,1,2024,3,2024-03-04,0
20240308,2024-03-08,8,3,Mar,1,2024,4,2024-03-04,0
20240309,2024-03-09,9,3,Mar,1,2024,5,2024-03-04,1
20240310,2024-03-10,10,3,Mar,1,2024,6,2024-03-04,1
20240311,2024-03-11,11,3,Mar,1,2024,0,2024-03-11,0
20240312,2024-03-12,12,3,Mar,1,2024,1,2024-03-11,0
20240313,2024-03-13,13,3,Mar,1,2024,2,2024-03-11,0
20240314,2024-03-14,14,3,Mar,1,2024,3,2024-03-11,0
20240315,2024-03-15,15,3,Mar,1,2024,4,2024-03-11,0
20240316,2024-03-16,16,3,Mar,1,2024,5,2024-03-11,1
20240317,2024-03-17,17,3,Mar,1,2024,6,2024-03-11,1
20240318,2024-03-18,18,3,Mar,1,2024,0,2024-03-18,0
20240319,2024-03-19,19,3,Mar,1,2024,1,2024-03-18,0
20240320,2024-03-20,20,3,Mar,1,2024,2,2024-03-18,0
20240321,2024-03-21,21,3,Mar,1,2024,3,2024-03-18,0
20240322,2024-03-22,22,3,Mar,1,2024,4,2024-03-18,0
20240323,2024-03-23,23,3,Mar,1,2024,5,2024-03-18,1
20240324,2024-03-24,24,3,Mar,1,2024,6,2024-03-18,1
20240325,2024-03-25,25,3,Mar,1,2024,0,2024-03-25,0
20240326,2024-03-26,26,3,Mar,1,2024,1,2024-03-25,0
20240327,2024-03-27,27,3,Mar,1,2024,2,2024-03-25,0
20240328,2024-03-28,28,3,Mar,1,2024,3,2024-03-25,0
20240329,2024-03-29,29,3,Mar,1,2024,4,2024-03-25,0
20240330,2024-03-30,30,3,Mar,1,2024,5,2024-03-25,1
20240331,2024-03-31,31,3,Mar,1,2024,6,2024-03-25,1
20240401,2024-04-01,1,4,Apr,2,2024,0,2024-04-01,0
20240402,2024-04-02,2,4,Apr,2,2024,1,2024-04-01,0
20240403,2024-04-03,3,4,Apr,2,2024,2,2024-04-01,0
20240404,2024-04-04,4,4,Apr,2,2024,3,2024-04-01,0
